"copper_dagger": "Медный Клинок",
"small_healing_potion": "Маленькое Зелье Лечения",
"copper_helmet": "Медный Шлем",
"copper_chestplate": "Медный Нагрудник",
"copper_leggins": "Медные Штаны",
"small_agility_potion": "Маленькое Зелье Проворства",
"wooden_shield": "Деревянный Щит",
"leather_helmet": "Кожанный Шлем",
"leather_cout": "Кожанный Плащ",
"leather_pants": "Кожанные Штаны",
"iron_sword": "Железный Меч",
"medium_healing_potion": "Среднее Зелье Лечения",
"iron_helmet": "Железный Шлем",
"iron_chestplate": "Железный Нагрудник",
"iron_leggins": "Железные Штаны",
"medium_agility_potion": "Среднее Зелье Проворства",
"steel_shield": "Стальной Щит",
"excalibur": "Экскалибур",
"big_healing_potion": "Большое Зелье Лечения",
"diamond_helmet": "Алмазный Шлем",
"diamond_chestplate": "Алмазный Нагрудник",
"diamond_leggins": "Алмазный Шлем",
"big_agility_potion": "Большое Зелье Проворства",
"titanium_shield": "Титановый Щит",
"zombie_bone": "Кость Зомби",
"skeleton_heart": "Сердце Скелета",
"slime_gel": "Гель Слизня",
"spider_leg": "Лапа Паука",
"wand_of_dishonest": "Посох Нечестивости",
"error": "ПРЕДМЕТ НЕ НАЙДЕН",
"fist": "Кулак",
